detector,seed,strategy,sharpe_like,final_equity
rv_baseline,1,ppo_aware,0.8023656348332301,3.8961796214037605
rv_baseline,1,ppo_blind,0.8489984512432937,5.054876570068629
rv_baseline,2,ppo_aware,0.9150646156613321,4.570360809901857
rv_baseline,2,ppo_blind,0.8975147179864699,5.180054125203412
rv_baseline,3,ppo_aware,0.8377418331658693,5.025360775758344
rv_baseline,3,ppo_blind,0.7957832680387045,4.306543998887818
rv_baseline,4,ppo_aware,0.6568210631266441,3.2677274215575665
rv_baseline,4,ppo_blind,0.7878673138138531,4.745066546212399
rv_baseline,5,ppo_aware,0.714712763661383,4.837324878985314
rv_baseline,5,ppo_blind,0.7061715959424625,5.613505155182736
rv_baseline,6,ppo_aware,0.5969429796558373,3.5445763064164453
rv_baseline,6,ppo_blind,0.7268230189644228,4.355219834424872
rv_baseline,7,ppo_aware,0.6631465454756865,4.462951295752006
rv_baseline,7,ppo_blind,0.6935689585062119,4.503044189637549
rv_baseline,8,ppo_aware,0.499156757465704,2.6966820593664096
rv_baseline,8,ppo_blind,0.5119257492659086,3.011308357134297
rv_baseline,9,ppo_aware,0.6353706896538708,3.4643727030709215
rv_baseline,9,ppo_blind,0.6464843467582057,3.5401779298313443
rv_baseline,10,ppo_aware,0.8708093746026625,4.990239423818281
rv_baseline,10,ppo_blind,0.967461385471596,5.144067126557687
rv_baseline,11,ppo_aware,0.81405941178653,4.832528027754989
rv_baseline,11,ppo_blind,0.7664895604363421,5.1553906703968835
rv_baseline,12,ppo_aware,0.8087366618291665,4.57295560826374
rv_baseline,12,ppo_blind,0.9192092325110529,5.053610391799822
rv_baseline,13,ppo_aware,0.7311774042443495,4.606855845761771
rv_baseline,13,ppo_blind,0.846504081850537,5.144545708871362
rv_baseline,14,ppo_aware,0.7090427970864579,3.4819637586697354
rv_baseline,14,ppo_blind,0.7617945628298497,4.696150347904563
rv_baseline,15,ppo_aware,0.4511419431924659,2.2192350821534887
rv_baseline,15,ppo_blind,0.6738666941165061,3.865526939071316
rv_baseline,16,ppo_aware,0.7681375214017311,4.277163478328774
rv_baseline,16,ppo_blind,0.730727635248092,4.458321699081921
rv_baseline,17,ppo_aware,0.6378939626176593,3.5262280290613006
rv_baseline,17,ppo_blind,0.6329814734429428,3.9783447236343363
rv_baseline,18,ppo_aware,0.9535128225371602,4.515660527347052
rv_baseline,18,ppo_blind,0.7253412470613038,3.954313347632109
rv_baseline,19,ppo_aware,0.7101314360108963,3.7945360020893872
rv_baseline,19,ppo_blind,0.800532466090706,4.962817905290933
rv_baseline,20,ppo_aware,0.5883786593209894,3.724915532950618
rv_baseline,20,ppo_blind,0.6196990139938079,4.235574057135139
rv_dwell,1,ppo_aware,0.8492078401275727,5.1937126134477865
rv_dwell,1,ppo_blind,0.8489984512432937,5.054876570068629
rv_dwell,2,ppo_aware,0.8308405791126687,4.53928453819816
rv_dwell,2,ppo_blind,0.8975147179864699,5.180054125203412
rv_dwell,3,ppo_aware,0.8556244899328616,5.188282410107917
rv_dwell,3,ppo_blind,0.7957832680387045,4.306543998887818
rv_dwell,4,ppo_aware,0.7563446063626719,4.3625582042453175
rv_dwell,4,ppo_blind,0.7878673138138531,4.745066546212399
rv_dwell,5,ppo_aware,0.6763097687103032,4.074831531423158
rv_dwell,5,ppo_blind,0.7061715959424625,5.613505155182736
rv_dwell,6,ppo_aware,0.6647790670054105,3.593128687299199
rv_dwell,6,ppo_blind,0.7268230189644228,4.355219834424872
rv_dwell,7,ppo_aware,0.6687264039456832,4.3431905276510605
rv_dwell,7,ppo_blind,0.6935689585062119,4.503044189637549
rv_dwell,8,ppo_aware,0.548627267754416,3.3881393935743347
rv_dwell,8,ppo_blind,0.5119257492659086,3.011308357134297
rv_dwell,9,ppo_aware,0.521928915151248,2.908617788665879
rv_dwell,9,ppo_blind,0.6464843467582057,3.5401779298313443
rv_dwell,10,ppo_aware,0.8740355603523792,5.114684566507464
rv_dwell,10,ppo_blind,0.967461385471596,5.144067126557687
rv_dwell,11,ppo_aware,0.7951323854204846,4.287338814966674
rv_dwell,11,ppo_blind,0.7664895604363421,5.1553906703968835
rv_dwell,12,ppo_aware,0.779309152186328,4.028804971177507
rv_dwell,12,ppo_blind,0.9192092325110529,5.053610391799822
rv_dwell,13,ppo_aware,0.7376048837493528,4.231731442290595
rv_dwell,13,ppo_blind,0.846504081850537,5.144545708871362
rv_dwell,14,ppo_aware,0.7788430522158611,4.706955543035448
rv_dwell,14,ppo_blind,0.7617945628298497,4.696150347904563
rv_dwell,15,ppo_aware,0.42820287034693666,2.2455062707157936
rv_dwell,15,ppo_blind,0.6738666941165061,3.865526939071316
rv_dwell,16,ppo_aware,0.5847004096264433,3.1575032306947577
rv_dwell,16,ppo_blind,0.730727635248092,4.458321699081921
rv_dwell,17,ppo_aware,0.5632522216005462,3.2551905779492785
rv_dwell,17,ppo_blind,0.6329814734429428,3.9783447236343363
rv_dwell,18,ppo_aware,0.9659200238928196,4.889453595503326
rv_dwell,18,ppo_blind,0.7253412470613038,3.954313347632109
rv_dwell,19,ppo_aware,0.8132007729976257,4.68266348826937
rv_dwell,19,ppo_blind,0.800532466090706,4.962817905290933
rv_dwell,20,ppo_aware,0.6182163673675215,4.102285171656135
rv_dwell,20,ppo_blind,0.6196990139938079,4.235574057135139
hmm,1,ppo_aware,0.8317308123292508,4.125672769765018
hmm,1,ppo_blind,0.8489984512432937,5.054876570068629
hmm,2,ppo_aware,0.670218483222612,3.9048779188965312
hmm,2,ppo_blind,0.8975147179864699,5.180054125203412
hmm,3,ppo_aware,0.8828889224715212,5.58468552226168
hmm,3,ppo_blind,0.7957832680387045,4.306543998887818
hmm,4,ppo_aware,0.6725582969737278,3.7411171023391745
hmm,4,ppo_blind,0.7878673138138531,4.745066546212399
hmm,5,ppo_aware,0.7061427847882427,4.218916515057131
hmm,5,ppo_blind,0.7061715959424625,5.613505155182736
hmm,6,ppo_aware,0.7733636113766115,4.514571697579086
hmm,6,ppo_blind,0.7268230189644228,4.355219834424872
hmm,7,ppo_aware,0.5703931077006229,3.486802682244118
hmm,7,ppo_blind,0.6935689585062119,4.503044189637549
hmm,8,ppo_aware,0.4661276806749377,3.6653356707501246
hmm,8,ppo_blind,0.5119257492659086,3.011308357134297
hmm,9,ppo_aware,0.6064466017127457,3.563696278674783
hmm,9,ppo_blind,0.6464843467582057,3.5401779298313443
hmm,10,ppo_aware,0.8574295841725268,4.953072449985044
hmm,10,ppo_blind,0.967461385471596,5.144067126557687
hmm,11,ppo_aware,0.6732111576357509,3.252694249683813
hmm,11,ppo_blind,0.7664895604363421,5.1553906703968835
hmm,12,ppo_aware,0.8360684303140983,4.6097206938685815
hmm,12,ppo_blind,0.9192092325110529,5.053610391799822
hmm,13,ppo_aware,0.7753799019955893,4.524292851208244
hmm,13,ppo_blind,0.846504081850537,5.144545708871362
hmm,14,ppo_aware,0.7915669204344151,4.528010578147374
hmm,14,ppo_blind,0.7617945628298497,4.696150347904563
hmm,15,ppo_aware,0.6325862845267903,3.2448244549718765
hmm,15,ppo_blind,0.6738666941165061,3.865526939071316
hmm,16,ppo_aware,0.7803146610844148,4.724195078493054
hmm,16,ppo_blind,0.730727635248092,4.458321699081921
hmm,17,ppo_aware,0.6053294662514345,3.6366922584985986
hmm,17,ppo_blind,0.6329814734429428,3.9783447236343363
hmm,18,ppo_aware,0.8689592291119065,3.7980487784866455
hmm,18,ppo_blind,0.7253412470613038,3.954313347632109
hmm,19,ppo_aware,0.7388354867779867,4.380827778167841
hmm,19,ppo_blind,0.800532466090706,4.962817905290933
hmm,20,ppo_aware,0.632383304712086,4.223473500288435
hmm,20,ppo_blind,0.6196990139938079,4.235574057135139
